,Day,DoWeek,hour,count,passed,period,data,ServiceID,datetime
220659,2023-07-24,0,17,13402,13402,63.94896284136696,635.3697209371736,2,2023-07-24 17:00:00
220660,2023-07-24,0,17,2,2,61.0,22040.5,4,2023-07-24 17:00:00
220661,2023-07-24,0,17,17143,17143,63.0,942.2220731493904,11,2023-07-24 17:00:00
220662,2023-07-24,0,17,19,19,62.0,614.1052631578947,1,2023-07-24 17:00:00
220663,2023-07-24,0,17,108,108,62.0,1037.4444444444443,5,2023-07-24 17:00:00
220664,2023-07-24,0,17,7680,7680,63.0,600.6524739583333,7,2023-07-24 17:00:00
220665,2023-07-24,0,17,6,6,62.0,691.3333333333334,8,2023-07-24 17:00:00
220666,2023-07-24,0,17,24,24,0.0,378250.7083333333,10,2023-07-24 17:00:00
220667,2023-07-24,0,17,3169,3169,64.0,648.7939413064058,2,2023-07-24 17:00:00
220668,2023-07-24,0,17,4099,4099,63.0,917.5337887289584,11,2023-07-24 17:00:00
220669,2023-07-24,0,17,95,95,62.0,4205.61052631579,5,2023-07-24 17:00:00
220670,2023-07-24,0,17,1727,1727,63.0,600.0775911986103,7,2023-07-24 17:00:00
220671,2023-07-24,0,17,2,2,62.0,575.0,8,2023-07-24 17:00:00
220672,2023-07-24,0,17,6,6,0.0,378251.1666666667,10,2023-07-24 17:00:00
220673,2023-07-24,0,18,15127,15127,63.95359291333377,636.9135982018906,2,2023-07-24 18:00:00
220674,2023-07-24,0,18,1,1,61.0,16201.0,4,2023-07-24 18:00:00
220675,2023-07-24,0,18,1,1,62.0,428.0,6,2023-07-24 18:00:00
220676,2023-07-24,0,18,18308,18308,62.99989075813852,914.4883657417522,11,2023-07-24 18:00:00
220677,2023-07-24,0,18,3,3,62.0,623.0,1,2023-07-24 18:00:00
220678,2023-07-24,0,18,173,173,62.0,6009.092485549133,5,2023-07-24 18:00:00
220679,2023-07-24,0,18,8255,8255,63.0,599.817080557238,7,2023-07-24 18:00:00
220681,2023-07-24,0,18,1,1,63.0,2366.0,0,2023-07-24 18:00:00
220682,2023-07-24,0,18,28,28,0.0,378250.4642857143,10,2023-07-24 18:00:00
220683,2023-07-24,0,18,978,978,64.0,644.9274028629857,2,2023-07-24 18:00:00
220684,2023-07-24,0,18,1227,1227,63.0,912.5704971475144,11,2023-07-24 18:00:00
220685,2023-07-24,0,18,8,8,62.0,636.25,5,2023-07-24 18:00:00
220686,2023-07-24,0,18,577,577,63.0,599.6603119584056,7,2023-07-24 18:00:00
220687,2023-07-24,0,18,2,2,0.0,378251.5,10,2023-07-24 18:00:00
225277,2023-07-24,0,17,9134,9134,63.960915261659736,633.465185022991,2,2023-07-24 17:00:00
225278,2023-07-24,0,17,11504,11504,63.0,942.69671418637,11,2023-07-24 17:00:00
225279,2023-07-24,0,17,5,5,62.0,530.6,1,2023-07-24 17:00:00
225280,2023-07-24,0,17,182,182,62.0,1098.6868131868132,5,2023-07-24 17:00:00
225281,2023-07-24,0,17,4939,4939,63.0,600.4539380441385,7,2023-07-24 17:00:00
225282,2023-07-24,0,17,4,4,62.0,489.5,8,2023-07-24 17:00:00
225283,2023-07-24,0,17,16,16,0.0,378248.75,10,2023-07-24 17:00:00
225284,2023-07-24,0,18,8893,8893,63.94433824356235,629.3479140897335,2,2023-07-24 18:00:00
225285,2023-07-24,0,18,1,1,61.0,28159.0,4,2023-07-24 18:00:00
225286,2023-07-24,0,18,2,2,62.0,428.0,6,2023-07-24 18:00:00
225287,2023-07-24,0,18,11185,11185,63.0,920.0914617791684,11,2023-07-24 18:00:00
225288,2023-07-24,0,18,1,1,62.0,634.0,1,2023-07-24 18:00:00
225289,2023-07-24,0,18,126,126,62.0,3411.2301587301586,5,2023-07-24 18:00:00
225290,2023-07-24,0,18,4974,4974,63.0,599.83835946924,7,2023-07-24 18:00:00
225291,2023-07-24,0,18,1,1,63.0,947.0,0,2023-07-24 18:00:00
225292,2023-07-24,0,18,18,18,0.0,378248.8333333333,10,2023-07-24 18:00:00
333026,2023-07-24,0,6,2509,2509,63.79912315663611,586.908330011957,2,2023-07-24 06:00:00
333027,2023-07-24,0,6,3951,3951,63.0,851.832953682612,11,2023-07-24 06:00:00
333028,2023-07-24,0,6,29,29,62.0,10823.758620689656,5,2023-07-24 06:00:00
333029,2023-07-24,0,6,901,901,63.0,599.5893451720311,7,2023-07-24 06:00:00
333030,2023-07-24,0,6,19,19,0.0,378250.8421052632,10,2023-07-24 06:00:00
333031,2023-07-24,0,6,2210,2210,63.92398190045249,616.8113122171945,2,2023-07-24 06:00:00
333032,2023-07-24,0,6,2866,2866,63.0,880.1381716678297,11,2023-07-24 06:00:00
333033,2023-07-24,0,6,14,14,62.0,540.9285714285714,5,2023-07-24 06:00:00
333034,2023-07-24,0,6,717,717,63.0,600.0376569037657,7,2023-07-24 06:00:00
333035,2023-07-24,0,6,11,11,0.0,378250.7272727273,10,2023-07-24 06:00:00
333036,2023-07-24,0,7,8853,8853,63.9173161640122,616.8610640460861,2,2023-07-24 07:00:00
333037,2023-07-24,0,7,11386,11386,63.0,915.2517126295452,11,2023-07-24 07:00:00
333038,2023-07-24,0,7,77,77,62.0,486.1688311688312,1,2023-07-24 07:00:00
333039,2023-07-24,0,7,143,143,62.0,1079.13986013986,5,2023-07-24 07:00:00
333040,2023-07-24,0,7,3649,3649,63.0,602.2943272129351,7,2023-07-24 07:00:00
333041,2023-07-24,0,7,1,1,62.0,318.0,8,2023-07-24 07:00:00
333042,2023-07-24,0,7,30,30,0.0,378250.7333333333,10,2023-07-24 07:00:00
333043,2023-07-24,0,8,7347,7347,64.0,627.5813257111746,2,2023-07-24 08:00:00
333044,2023-07-24,0,8,1,1,62.0,602.0,6,2023-07-24 08:00:00
333045,2023-07-24,0,8,9950,9950,63.0,939.0304522613066,11,2023-07-24 08:00:00
333046,2023-07-24,0,8,125,125,62.0,463.136,1,2023-07-24 08:00:00
333047,2023-07-24,0,8,96,96,62.0,1037.2083333333333,5,2023-07-24 08:00:00
