job_title,company,salary,location,posted,job_url,company_url,source_page,summary
Embedded Engineer,,,,,https://www.topcv.vn/viec-lam/embedded-engineer/1829956.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/fpt-software/3.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc ABOUT COMPANY At FPT Software, we believe that diversity drives innovation. We are dedicated to creating an inclusive environment where people from all backgrounds, nationalities, ethnicities, genders, and abilities can thrive. We actively seek diverse talent, including expatriates, to enrich our team with unique perspectives that will contribute to our continued growth and success. Our commitment to equity ensures that all employees have the resources and support they need to excel. If you’re an expatriate or international professional seeking an inclusive, global workplace, we encourage you to apply and help us shape the future of technology together. JOB OVERVIEW • The candidate will work as an MCAL Development Engineer, focusing on DENSO in-house MCAL configuration and development. RESPONSIBILITIES Key responsibilities include Development • Configure and develop MCAL components • Implement software in C language according to AUTOSAR standards • Develop I/O hardware "
Embedded Linux Engineer (BSP),,,,,https://www.topcv.vn/viec-lam/embedded-linux-engineer-bsp/1809847.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/fpt-software/3.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc ABOUT FPT SOFTWARE FPT Software, a subsidiary of FPT Group, is a leading global IT service provider headquartered in Vietnam. With 33,000+ employees in 88 offices across 30 countries, we serve 1,100+ clients, including 96 Fortune 500 companies. We believe diversity fuels innovation and strive to create an inclusive workplace where talents of all backgrounds thrive. We welcome expatriates and international professionals to bring fresh perspectives and help shape the future of technology. RESPONSIBILITIES Five Linux package • Maintain VLP/G, VLP/V, and VLP/F for RZ/G2x-G1x, RZ/V2x, and RZ/Five: Yocto 3.1 based build system, Linux BSP (bootloaders, CIP SLTS Linux kernel v5.10 cip, device drivers, etc.), Linux middleware and application framework (Qt, Gecko, Docker, etc.), Security Package (Secure Boot, OPTEE, Security IP support) • Maintain: Yocto 2.4 based build system, Linux BSP (bootloaders, CIP SLTS Linux kernel v4.19 cip, device drivers, etc.), Linux middleware and ap"
Embedded C Engineer,,,,,https://www.topcv.vn/viec-lam/embedded-c-engineer/1863495.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/fpt-software/3.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc ABOUT FPT SOFTWARE FPT Software, a subsidiary of FPT Group, is a leading global IT service provider headquartered in Vietnam. With 33,000+ employees in 88 offices across 30 countries, we serve 1,100+ clients, including 96 Fortune 500 companies. We believe diversity fuels innovation and strive to create an inclusive workplace where talents of all backgrounds thrive. We welcome expatriates and international professionals to bring fresh perspectives and help shape the future of technology. RESPONSIBILITIES • Develop and execute validation plans for automotive systems following ASPICE strategy. • Design and implement test cases to validate software and hardware components against specifications and requirements. • Conduct functional, performance, and reliability testing to identify and resolve issues. • Collaborate with cross-functional teams, including software developers, hardware engineers, and system architects, to ensure comprehensive validation coverage. • Analyze tes"
Embedded Linux Engineer,,,,,https://www.topcv.vn/viec-lam/embedded-linux-engineer/1687660.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-co-phan-ban-vien/27248.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc RZ/G1 VLP/ VLP64 Maintenance Every 03 months, update CIP kernel (4.4.x, 4.4.x-RT, 5.10.x, 5.10.x-RT) to G1, G2 series. Disclose the package to GitHub public. Update HMI/QtHMI demo, sample apps, Application Development Package if impacted by CIP kernel update. System Integration, Technical review, Answer customer technical questions. Upstream/Backport bug-fixes. RZ/G2L BSP Development Port u-boot, CIP kernel (4.19.x, 4.19.x-RT, 5.10.x, 5.10.x-RT), Drivers (New, A2M, Zeus, V3U, etc. based), Basic libs(cip-core), ECC to G2L series and V2L. Low power mode. Integrate MMP, GStreamers, Qt. Disclose the package to GitHub public. System Integration (Yocto 3.1), Technical review, Answer customer technical questions. Upstream/Backport bug-fixes. RZ/G VLP Automation/Tool IT for BSP drivers, ST, LTP, Khronos Conformance Test, Qt test, Web-Platform-Testing, Draw Elements Quality Program (dEQP), Performance test for HTML5. Benchmark. Build Automation CI/CD/Test env (LAVA, R-Car Automa"
Fresher Embedded,,,,,https://www.topcv.vn/viec-lam/fresher-embedded/1843141.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mijo-connected-vietnam/235474.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc - FPT Software HCM đang tìm kiếm các bạn sinh viên sắp ra trường để tham gia vào các dự án phát triển phần mềm với quy mô lớn. - Có cơ hội học tập và làm việc trong các dự án thực tế với các khách hàng lớn của công ty đến từ Nhật Bản, Hàn Quốc, Trung Quốc, Mỹ… - Được tham gia khóa đào tạo chuyên sâu về lập trình Embedded từ 3-6 tháng Yêu cầu ứng viên - Sinh viên đã hoặc sắp tốt nghiệp chuyên ngành Hệ thống nhúng, Khoa học máy tính, Điện tử-Tự động hóa, hoặc các chuyên ngành liên quan,… - Có background về C/C++/Embedded tốt - Có kinh nghiệm về MCU như STM32, PIC, NXP,... là một lợi thế - Tư duy lập trình, kỹ năng giải quyết vấn đề tốt - Tham gia đào tạo/làm việc Full-time từ Thứ 2 - Thứ 6 (8h00-17h00) - Tiếng Anh tương đương Toeic 650 trở lên hoặc Tiếng Nhật tương đương N3+ trở lên Quyền lợi - Sau đào tạo có cơ hội trở thành nhân viên chính thức tại FPT Software - Trải nghiệm văn hóa đặc trưng, môi trường làm việc hiện đại bậc nhất Việt Nam tại các Campus của FPT Softwar"
Embedded Linux Engineer - Signing Bonus Up To 60M,,,,,https://www.topcv.vn/viec-lam/embedded-linux-engineer-signing-bonus-up-to-60m/1695828.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/fpt-software/3.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc ABOUT COMPANY At FPT Software, we believe that diversity drives innovation. We are dedicated to creating an inclusive environment where people from all backgrounds, nationalities, ethnicities, genders, and abilities can thrive. We actively seek diverse talent, including expatriates, to enrich our team with unique perspectives that will contribute to our continued growth and success. Our commitment to equity ensures that all employees have the resources and support they need to excel. If you’re an expatriate or international professional seeking an inclusive, global workplace, we encourage you to apply and help us shape the future of technology together. JOB OVERVIEW • We are a dynamic and innovative outsourcing team dedicated to delivering high-quality software solutions for our clients. Our team specializes in embedded systems and networking, working on cutting-edge projects for leading broadband companies. We pride ourselves on fostering a collaborative and supportive"
Kỹ Sư Nhúng,,,,,https://www.topcv.vn/viec-lam/ky-su-nhung/1876400.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-co-phan-tap-doan-song-nam/145985.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc Lập trình hệ thống nhúng cho vi điều khiển, máy tính nhúng (Lập trình BSP (board support package), lập trình giao thức truyền thông cho RS485, CAN, mạng không dây (Wifi, Lora, BT,…), lập trình hệ thống logic vận hành, thuật toán điều khiển, giao diện người dùng). Thiết kế PCB cho các mạch điều khiển logic, mạch bảo vệ cho AGV. Thiết kế hệ thống điện cho AGV và các hệ thống tự động hóa khác (thiết kế bản vẽ kỹ thuật điện, tổng hợp vật tư, theo dõi sản xuất sản phẩm mẫu). Phối hợp làm việc với các bộ phận khác trong quá trình nghiên cứu, chế tạo, thử nghiệm, cải tiến sản phẩm, sản xuất. Các công việc khác theo yêu cầu của cấp trên trực tiếp và Ban Giám đốc. Yêu cầu ứng viên Thành thạo lập trình C/C++ Ưu tiên am hiểu kiến trúc vi điều khiển, có kinh nghiệm sử dụng các ngoại vi như UART, I2C, SPI, CAN,… Có kiến thức lập trình, xử lý đa luồng trên FreeRTOS, multi-thread, multi-process trên Linux. Am hiểu về các bộ điều khiển phổ biến như PID, Fuzzy Logic,…. Có kiến thức về b"
Fresher C/Embedded,,,,,https://www.topcv.vn/viec-lam/fresher-c-embedded/1795808.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/fpt-software/201091.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc FPT Software Hà Nội cần tuyển 15 Fresher Foundation Automotive tham gia Chương trình đào tạo tân binh và làm việc trực tiếp tại các dự án hàng đầu trong lĩnh vực Automative – Nhóm Phần mềm chịu trách nhiệm phát triển phần mềm cho các sản phẩm ô tô. Thiết kế và phát triển các thành phần phần mềm nhúng; làm việc với các nhóm kiến ​​trúc để tạo ra các thành phần phần mềm có thể sử dụng lại, tài liệu hỗ trợ và hướng dẫn tích hợp... Chương trình đào tạo tân binh Fresher Foundation Automotive là chương trình được xây dựng nhằm giúp các tân binh của FPT Software có cơ hội tìm hiểu và hệ thống lại các kiến thức C/ Embedded, Autosar và học hỏi quy trình phát triển phần mềm trước khi tham gia vào các dự án thực tế trong lĩnh vực Automative. Nội dung khóa học bao gồm các phần: Lập trình C/C++ Làm việc với ngôn ngữ lập trình C, C++, OOP, thao tác file, con trỏ, sử dụng structure, hiểu cấu trúc dữ liệu và giải thuật. Làm việc với Visual Studio/Code: Block to create applications, pro"
Embedded Android AOSP Developer,,,,,https://www.topcv.vn/viec-lam/embedded-android-aosp-developer/1869313.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-co-phan-ban-vien/27248.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc Build, configure, and maintain AOSP for custom hardware. Port BSPs, manage device trees, and debug build issues. Integrate drivers and HALs (display, audio, sensors, connectivity). Modify Android framework and system services. Customize and cross-compile Linux kernels and modules. Use adb, fastboot, logcat, dmesg, perf, gdb, and strace for debugging Yêu cầu ứng viên 3+ years AOSP/embedded Android/Linux development. Experience in C, C++, Java, Kotlin. Experience with Soong, Make, repo, Gerrit Skilled in hardware bring-up, HAL integration, and kernel customization. Proficient with system debugging tools and scripting. Bachelor’s or Master’s degree in Computer Science, Electronics, or related field. Preferred Experience: Experience with Qualcomm, MediaTek, or Rockchip SoCs. Knowledge of CTS/VTS/GTS, SELinux, Verified Boot. Experience with WearOS. Quyền lợi Competitive Salary (Up to 5,000 USD - based on your level) Full statutory social, and unemployment insurance. Premium "
Kỹ Sư IoT,,,,,https://www.topcv.vn/viec-lam/ky-su-iot/1867010.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-tnhh-evselab/207038.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc • Thiết kế và phát triển phần mềm IoT dựa trên các giao thức kết nối (Wi-Fi, SIM/Cellular). • Nắm vững và triển khai các giao thức mạng (HTTP, MQTT). • Đọc hiểu và áp dụng tài liệu kỹ thuật, reference manual để phát triển phần mềm. • Lập trình và tích hợp các giao thức truyền thông nhúng (CAN, UART, I2C, SPI). Yêu cầu ứng viên 1. Bằng cấp: Ứng viên tốt nghiệp Đại học trở lên các ngành Công nghệ thông tin, Khoa học máy tính, Kỹ thuật điều khiển và tự động hóa, Điện tử viễn thông,… hoặc các chuyên ngành có liên quan khác 2. Kiến thức: • Có kiến thức về giao thức mạng như MQTT, HTTP. • Có kiến thức về lập trình nhúng sử dụng ngôn ngữ C; • Ngoại ngữ: TOEIC 550+ hoặc các chứng chỉ khác ở trình độ tương đương. • Có thể sử dụng ARM Cortex Mx của STMicro (STM32), F2800xxx của TI, Các dòng chip liên quan tới IOT như ESP, Module Sim. • Thành thạo các module phổ biến như: Timer, GPIO, ADC, PWM, … • Thành thạo một số chuẩn giao tiếp cơ bản như: UART, SPI, I2C, CAN, … • Có kiến thức"
