title,url,view,extra,eps
"Food Court de, Mata Ashita.",https://animevietsub.show/phim/food-court-de-mata-ashita-a5695/,"Lượt xem: 144,540",9.7,HOÀNTẤT
New Panty & Stocking with Garterbelt,https://animevietsub.show/phim/new-panty-stocking-with-garterbelt-a5697/,"Lượt xem: 192,096",9.4,TẬP03
Mono,https://animevietsub.show/phim/mono-a5629/,"Lượt xem: 175,251",9.6,HOÀNTẤT
Anh Hùng Bất Tỉnh Và Công Chúa Ám Sát,https://animevietsub.show/phim/kizetsu-yuusha-to-ansatsu-hime-a5649/,"Lượt xem: 164,069",9.3,HOÀNTẤT
Dược Sư Tự Sự Mùa 2,https://animevietsub.show/phim/kusuriya-no-hitorigoto-2nd-season-a5380/,"Lượt xem: 11,298,936",9.8,HOÀNTẤT
Shirobuta Kizoku desu ga Zense no Kioku ga Haeta node Hiyoko na Otouto Sodatemasu,https://animevietsub.show/phim/shirobuta-kizoku-desu-ga-zense-no-kioku-ga-haeta-node-hiyoko-na-otouto-sodatemasu-a5634/,"Lượt xem: 89,567",8,HOÀNTẤT
"Sau Khi Rời Khỏi Tổ Đội Hạng A, Tôi Thám Hiểm Mê Cung Cùng Đệ Tử Cũ",https://animevietsub.show/phim/a-rank-party-wo-ridatsu-shita-ore-wa-moto-oshiego-tachi-to-meikyuu-shinbu-wo-mezasu-a5519/,"Lượt xem: 2,301,808",8.4,HOÀNTẤT
Nazotoki wa Dinner no Ato de,https://animevietsub.show/phim/nazotoki-wa-dinner-no-ato-de-a5616/,"Lượt xem: 77,671",7.6,HOÀNTẤT
Rock wa Lady no Tashinami deshite,https://animevietsub.show/phim/rock-wa-lady-no-tashinami-deshite-a5605/,"Lượt xem: 233,926",9.7,HOÀNTẤT
Zatsu Tabi: That's Journey,https://animevietsub.show/phim/zatsu-tabi-thats-journey-a5620/,"Lượt xem: 184,308",9.6,HOÀNTẤT
Những Đứa Trẻ Nhà Shiunji,https://animevietsub.show/phim/shiunji-ke-no-kodomotachi-a5587/,"Lượt xem: 1,651,715",8.9,HOÀNTẤT
Chotto dake Ai ga Omoi Dark Elf ga Isekai kara Oikaketekita,https://animevietsub.show/phim/chotto-dake-ai-ga-omoi-dark-elf-ga-isekai-kara-oikaketekita-a5619/,"Lượt xem: 742,816",4.6,HOÀNTẤT
Aharen-san wa Hakarenai 2nd Season,https://animevietsub.show/phim/aharen-san-wa-hakarenai-2nd-season-a5588/,"Lượt xem: 593,944",9.3,HOÀNTẤT
Kakushite! Makina-san!!,https://animevietsub.show/phim/kakushite-makina-san-a5618/,"Lượt xem: 476,158",4.3,HOÀNTẤT
Maebashi Witches,https://animevietsub.show/phim/maebashi-witches-a5615/,"Lượt xem: 65,443",9.6,HOÀNTẤT
